objectID,title,period,dynasty,reign,objectDate,objectBeginDate,objectEndDate,medium,dimensions,classification,country,region,city,tags
557623,Women at a Banquet,Twentieth Century; original New Kingdom,Dynasty 18,reign of Thutmose III–early Amenhotep II,A.D. 1925; original ca. 1479–1425 B.C.,-1479,-1425,Tempera on paper,"Image: H. 47.5 × W. 66.5 cm (18 11/16 × 26 3/16 in.), scale 1:1; Framed: 51.1 × 70.2 cm (20 1/8 × 27 5/8 in.)",,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Drink-and-Be-Merry', 'AAT_URL': None, 'Wikidata_URL': None}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Rekhmire-Exhibition', 'AAT_URL': None, 'Wikidata_URL': None}]"
557688,A Barber at Work and Men Waiting Their Turn,Twentieth Century; original New Kingdom,Dynasty 18,reign of Amenhotep II,A.D. 1922; original ca. 1427–1400 B.C.,-1427,-1400,Tempera on paper,Facsimile: H. 45 × W. 73 cm (17 11/16 × 28 3/4 in.); Scale: 1:1; Frame: H. 48.5 × W. 76.2 cm (19 1/8 × 30 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]"
544600,"Foreigners, Tomb of Menkheperraseneb",Twentieth Century; original New Kingdom,Dynasty 18,reign of Thutmose III,A.D. 1925; original ca. 1479–1425 B.C.,-1479,-1425,Tempera on paper,H. 46 × W. 42 cm (18 1/8 × 16 9/16 in.); scale 1:1; framed: H. 49.7 × W. 45 cm (19 9/16 × 17 11/16 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Hieroglyphs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028721', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q193762'}]"
544640,"Carpenter Making a Chair, Tomb of Rekhmire",New Kingdom,Dynasty 18,reign of Thutmose III–Amenhotep II,ca. 1479–1400 B.C.,-1479,-1479,Tempera on paper,facsimile: h. 30 cm (11 13/16 in); w. 41 cm (16 1/8 in); scale 1:1; framed: h. 33 cm (13 in); w. 44.5 cm (17 1/2 in),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Working', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300412186', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q6958747'}, {'term': 'Chairs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300037772', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q15026'}, {'term': 'Tools', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300024841', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q39546'}, {'term': 'Rekhmire-Exhibition', 'AAT_URL': None, 'Wikidata_URL': None}]"
552606,"Stela of Amenemopet, a Priest of Senwosret I",New Kingdom,Dynasty 18,Thutmose II–Thutmose IV,ca. 1479–1391 B.C.,-1479,-1391,Limestone,H. 31.8 × W. 22.2 × Th. 4.7 cm (12 1/2 × 8 3/4 × 1 7/8 in.),,Egypt,Upper Egypt,,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Hieroglyphs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028721', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q193762'}]"
544079,Handle of a Cosmetic Spoon in the Form of a Leopard,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Travertine (Egyptian alabaster),l. 12.9 cm (5 1/16 in); w. 3.8 cm (1 1/2 in); th. 1.7 cm (11/16 in),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Leopards', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300310390', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q34706'}, {'term': 'Cosmetic Tools', 'AAT_URL': None, 'Wikidata_URL': None}]"
544769,Necklace in Gold Filagree of Queen Tausret,"New Kingdom, Ramesside",Dynasty 19,,ca. 1200–1186 B.C.,-1200,-1200,Gold,l. 58 cm (24 in); h. of cornflowers 2.6 cm (7/8 in); w. of umbel .55 cm; diam. of ball bead 0.6-0.8 cm,,Egypt,"Upper Egypt, Thebes",,
546201,Shroud of Hori,"New Kingdom, Ramesside",Dynasty 19–20,,ca. 1295–1070 B.C.,-1295,-1070,"Linen, gesso, paint",H. 42.1 × W. 44.7 × D. 3 cm (16 9/16 × 17 5/8 × 1 3/16 in.),,Egypt,,,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Hieroglyphs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028721', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q193762'}]"
551250,Vase,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,Glass,"H. 9.9 cm (3 7/8 in), Diam. 6 cm (2 3/8 in)",,Egypt,"Upper Egypt, Thebes",,
551605,Reconstruction of  Geometric Decoration,New Kingdom,Dynasty 18,reign of Amenhotep III,ca. 1390–1352 B.C.,-1390,-1352,"Faience, modern plaster, gold paint",H. 98.7 cm (38 7/8 in.); W. 73.7 cm (29 in.); D. 3.2 cm (1 1/4 in.),,Egypt,"Upper Egypt, Thebes",,
591624,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,"Plaster, paint",H. 42.5 cm (16 3/4 in.); W. 22.5 cm (8 7/8 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Fish', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266085', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q152'}]"
591625,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Plaster,H. 43.4 cm (17 1/16 in.); W. 25.5 cm (10 1/16 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Fish', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266085', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q152'}]"
591629,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Plaster,H. 33.8 cm (13 5/16 in.); W. 30 cm (11 13/16 in.),,Egypt,"Upper Egypt, Thebes",,
558420,Cast of Hatshepsut's Punt Reliefs: Presentation of Tribute; Departure and Return of the Fleet,Original: New Kingom,,,ca. 1479–1458 B.C.,-1473,-1458,Plaster,,,Egypt,"Upper Egypt, Thebes",,
591632,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Plaster,H. 30.8 cm (12 1/8 in.); W. 31.9 cm (12 9/16 in.),,Egypt,"Upper Egypt, Thebes",,
591630,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Plaster,H. 31.8 cm (12 1/2 in.); W. 35.6 cm (14 in.),,Egypt,"Upper Egypt, Thebes",,
591631,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Plaster,H. 31.8 cm (12 1/2 in.); W. 30.2 cm (11 7/8 in.),,Egypt,"Upper Egypt, Thebes",,
591654,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Plaster,H. 38.1 cm (15 in.); W. 46.5 cm (18 5/16 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Palms', 'AAT_URL': None, 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q14080'}, {'term': 'Ladders', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300022376', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q168639'}]"
591643,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Plaster,H. 39.3 cm (15 1/2 in.); W. 28.5 cm (11 1/4 in.),,Egypt,"Upper Egypt, Thebes",,
591645,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Plaster,H. 41.7 cm (16 7/16 in.); W. 31.3 cm (12 5/16 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}]"
591653,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Plaster,H. 42 cm (16 9/16 in.); W. 32.3 cm (12 11/16 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Animals', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300249525', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q729'}]"
591652,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Plaster,H. 40.6 cm (16 in.); W. 23.1 cm (9 1/8 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Cows', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250120', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q830'}]"
591642,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Plaster,H. 38.8 cm (15 1/4 in.); W. 22.9 cm (9 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}, {'term': 'Ladders', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300022376', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q168639'}]"
591644,Cast of Hatshepsut's Punt Reliefs: Reception in Punt,Original: New Kingdom,Dynasty 18,joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Plaster,H. 40.6 cm (16 in.); W. 27.4 cm (10 13/16 in.),,Egypt,"Upper Egypt, Thebes",,"[{'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}]"
